Survey ID,"
Do you agree to participate?","
Are you responsible for water collection or treatment in this household?","
Survey Type","
Waterpoint ID","
AEP System ID","
Waterpoint Site Name","
Interviewer's Name","
Interview date","
Interview Start Time",Latitude,Longitude,"
Prefecture","
Sub-Prefecture","
Commune","
Town or Village Name","
Neighborhood (or village name if no neighborhoods)","
Interviewee's Gender","
What is the highest level of education obtained by the head of the household?","
Other type of education","
What is your household's main source of income?","
Other household income","
How many people live in your household in total, including yourself.","
What is your main source of drinking water in the WET/RAINY season?","
Other water source type during WET/RAINY season.","
Waterpoint ID (WET/RAINY season)","
Waterpoint Name (WET/RAINY season)","
What is your main source of drinking water in the DRY season?","
Other water source type during DRY season.","
Waterpoint ID (DRY season)","
(Waterpoint Name (DRY season)","
Where is that water collected from?","
How long does it take to go there, get water, and come back? (in minutes, don't collect, don't know)","
Number of minutes to collect water.","
In the last month, has there been any time when your household did not have sufficient quantities of drinking water when needed?","
Who usually goes to this source to fetch water for your household?","
How many trips did that person make in the last week?","
Is water always available from your main water source?","
What was the (main) reason you were unable to access sufficient quantities of water when needed? Select one.","If there is another reason why you were unable to collect enough water, please note it here.
Other reason for not collecting sufficient amounts of water.","How many hours a day is water accessible from the water point?
How many hours per day is water supplied on average?","
In the past month, for how many days was water from this source unavailable when needed? (Number of Days)","
Is this for personal, commercial or institutional use?","
Other reason for collecting water.","
Do you or your family ever suffer from stomach related illnesses/water-bourne diseases and how often does this occur?","
Do you still treat/process your water in any way to make it safe for drinking, food washing, and basic personal hygiene?","
What method do you use to make the water safe?","
Other method of filtering water.","
What is the reason for not making your water safe for drinking, food washing, and basic personal hygiene?","
If you had the means to purify water and choose to do this, which method would you most likely use?","
DRY SEASON - Technology: Traditional wood stove or stone fire","
DRY SEASON - Technology: Improved Wood Stove","
DRY SEASON - Technology: Charcoal Stove","
DRY SEASON - Technology: Gas Stove","
DRY SEASON - Technology: Kerosene Stove","
DRY SEASON - Technology: Electric Stove","
DRY SEASON - Technology: Other Cooking Technology","
For cooking, do you use different cooking technologies for the wet season than you do for the dry season?","
WET SEASON - Technology: Traditional wood stove or stone fire","
WET SEASON - Technology: Improved Wood Stove","
WET SEASON - Technology: Charcoal Stove","
WET SEASON - Technology: Gas Stove","
WET SEASON - Technology: Kerosene Stove","
WET SEASON - Technology: Electric Stove","
WET SEASON - Technology: Other Cooking Technology","
What is the main stove that you use for cooking if you use more than one stove?","
DRY SEASON - Fuel: Wood","
DRY SEASON - Fuel: Gas","
DRY SEASON - Fuel: Charcoal","
DRY SEASON - Fuel: Kerosene","
DRY SEASON - Fuel: Electricity","
DRY SEASON - Fuel: Crop Residues","
DRY SEASON - Fuel: Biogas","
DRY SEASON - Fuel: Animal Dung","
DRY SEASON - Fuel: Other fuel frequency","
DRY SEASON - Fuel: Other fuel type","
For cooking or boiling water, do you use different fuel types in the wet season than you do in the dry season?","
WET SEASON - Fuel: Wood","
WET SEASON - Fuel: Gas","
WET SEASON - Fuel: Charcoal","
WET SEASON - Fuel: Kerosene","
WET SEASON - Fuel: Electricity","
WET SEASON - Fuel: Crop Residues","
WET SEASON - Fuel: Biogas","
WET SEASON - Fuel: Animal Dung","
WET SEASON - Fuel: Other fuel frequency","
WET SEASON - Fuel: Other fuel type","
If you are using more than one fuel, which fuel do you mainly use for cooking?","
Where do you collect your fuel?","
How long does it take to go to the fuel source, get fuel, and come back?","
Number of minutes to collect fuel.","
How many trips were made to collect fuel in the last week?","
How many water storage containers: 5 liters","
How many water storage containers: 10 liters","
How many water storage containers: 15 liters","
How many water storage containers: 20 liters","
How many water storage containers: 25 liters","
How many water storage containers: other size","
What is the size of the other water container, in liters?","
Does your household have a storage container? Such as a barrel.","
If yes, how many liters does that storage container hold?","
Can you please show me where members of your household most often wash their hands?","
Observe availability of water at the place for handwashing.","
Observe availability of soap or detergent at the place for handwashing.","
Additional commentary.","
Interview completion time."
58,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-17,09:44:00,4.279287,15.779602,Mambere-Kadei,Berberati,Berberati,Berberati,Kpetene 2,Women,Secondary,,Agriculture,,11,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),60,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,2,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),240,3,1,0,0,1,0,1,60,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,10:02:00
67,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-17,11:05:00,4.278045,15.777801,Mambere-Kadei,Berberati,Berberati,Berberati,Kpetene 3,Women,Primary,,Agriculture,,14,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),35,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,1,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Do not know,,,2,0,0,3,0,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,11:21:00
283,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,NGUEBATA Arlette,2022-11-22,10:47:00,3.515100,16.059699,Sangha-Mbaere,nola,nola,nola,Dengba 2,Women,Primary,,Casual Work,,9,Unprotected well,,,,Unprotected well,,,,In his own accommodation,Number of minutes (specify),5,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,1,Staff,,Several times a month,No,,,It is expensive,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,3,1,10,0,0,1,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,11:23:00
286,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,NGUEBATA Arlette,2022-11-22,11:31:00,3.514717,16.060684,Sangha-Mbaere,nola,nola,nola,Dengba 2,Women,Primary,,Agriculture,,7,Unprotected well,,,,Unprotected well,,,,In his own accommodation,Number of minutes (specify),2,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,2,Staff,,Several times a month,No,,,It is expensive,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),360,6,0,0,0,1,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,12:15:00
280,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,NGUEBATA Arlette,2022-11-22,10:00:00,3.515559,16.059146,Sangha-Mbaere,nola,nola,nola,Demgba2,Women,Secondary,,Agriculture,,10,Unprotected well,,,,Unprotected well,,,,Other place,Number of minutes (specify),30,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available","Other, give details)",Water is always available,18-24 hours a day,0,Staff,,Once a month,No,,,The water is already drinkable (improved source),Add chlorine or product,4,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),140,5,0,0,0,2,0,1,60,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,10:38:00
364,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,MOSSALBAYE Armand,2022-11-22,11:52:00,3.515279,16.061019,Sangha-Mbaere,nola,nola,nola,Dengba 2,Women,Secondary,,Casual Work,,17,Drilling with TDC,,A58,Dengba 2,Drilling with TDC,,A58,Dengba 2,Other place,Number of minutes (specify),60,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,3,Staff,,Once a month,No,,,It is expensive,Add chlorine or product,3,0,1,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,3,1,0,0,4,2,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,12:17:00
361,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,MOSSALBAYE Armand,2022-11-22,11:23:00,3.514944,16.060215,Sangha-Mbaere,nola,nola,nola,Dengba 2,Women,Primary,,Casual Work,,6,Unprotected well,,,,Unprotected well,,,,Other place,Number of minutes (specify),10,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is not available at the source (no water),,24 hours a day,0,Staff,,"Once, every few months",No,,,I do not know how to do,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),160,2,0,0,1,1,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,11:43:00
397,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,MOSSALBAYE Armand,2022-11-22,10:02:00,3.514905,16.057534,Sangha-Mbaere,nola,nola,nola,Dengba 3,Women,Primary,,Agriculture,,12,Unprotected well,,,,Unprotected well,,,,In his own accommodation,Housekeeping does not collect (0 minutes),,"No, access is still sufficient",Adult woman (over 15),0,"Yes, water is always available",Water is not available at the source (no water),,24 hours a day,0,Staff,,Several times a month,No,,,I do not know how to do,Add chlorine or product,3,0,0,0,0,0,0,Yes,3,1,0,0,0,0,0,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),180,3,0,0,2,3,0,3,30,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,10:22:00
406,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,DANGOLHO Job,2022-11-22,15:52:00,3.513723,16.057694,Sangha-Mbaere,nola,nola,nola,Mbeka 3,Man,Primary,,Agriculture,,12,Unprotected well,,,,Unprotected well,,,,Other place,Number of minutes (specify),25,"No, access is still sufficient",Girl (under 15),7,"No, but water is available most of the time",The source is not accessible (no access),,24 hours a day,1,Staff,,Several times a month,No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),120,4,0,2,1,0,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,16:15:00
403,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,DANGOLHO Job,2022-11-22,10:32:00,3.514238,16.058021,Sangha-Mbaere,nola,nola,nola,Mbeka 3,Women,Primary,,Agriculture,,8,Unprotected well,,,,Drilling with TDC,,B703,Metezoa E,Other place,Number of minutes (specify),60,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,12-17 hours a day,1,Staff,,Never,No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,4,0,1,1,2,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,11:03:00
400,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,DANGOLHO Job,2022-11-22,10:00:00,3.514720,16.058070,Sangha-Mbaere,nola,nola,nola,Mbeka 3,Women,None,,Agriculture,,7,Drilling with TDC,,A58,Nola Apostolic Church Zengui 4,Unprotected well,,,,Other place,Number of minutes (specify),160,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,24 hours a day,2,Staff,,Once a month,No,,,It's taking too long,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),180,3,0,0,2,0,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,10:20:00
358,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,MOSSALBAYE Armand,2022-11-22,10:37:00,3.516884,16.057737,Sangha-Mbaere,nola,nola,nola,Zingui 4,Women,Primary,,Agriculture,,14,Unprotected well,,,,Unprotected well,,,,In his own accommodation,Housekeeping does not collect (0 minutes),,"No, access is still sufficient",Adult woman (over 15),0,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,"Once, every few months",No,,,It is expensive,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Do not know,,,1,0,1,0,3,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,10:58:00
313,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,NABELMA Eddy,2022-11-22,12:31:00,3.517575,16.057865,Sangha-Mbaere,nola,nola,nola,Zingui 4,Women,None,,Agriculture,,7,Unprotected well,,,,Unprotected well,,,,In its own yard or plot,Housekeeping does not collect (0 minutes),,"No, access is still sufficient",Adult woman (over 15),0,"Yes, water is always available","Other, give details)",Water is always available,24 hours a day,0,Staff,,Several times a month,No,,,It is expensive,To boil,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Number of minutes (specify),10,7,0,0,1,1,1,1,40,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,13:05:00
310,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,NABELMA Eddy,2022-11-22,11:43:00,3.517344,16.058570,Sangha-Mbaere,nola,nola,nola,Zingui 4,Women,Primary,,Agriculture,,9,Unprotected well,,,,Unprotected well,,,,In its own yard or plot,Housekeeping does not collect (0 minutes),,"No, access is still sufficient",Adult woman (over 15),49,"Yes, water is always available","Other, give details)",Water is always available,24 hours a day,0,Staff,,Several times a month,No,,,It is expensive,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),180,3,1,0,1,2,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,12:27:00
307,Yes,Yes,Planned AEP System,B703,AEP138,Metezoa E,NABELMA Eddy,2022-11-22,11:03:00,3.516416,16.058162,Sangha-Mbaere,nola,nola,nola,Zingui 4,Women,Secondary,,Casual Work,,8,Protected well,,,,Protected well,,,,In its own yard or plot,Housekeeping does not collect (0 minutes),,"No, access is still sufficient",Girl (under 15),35,"Yes, water is always available","Other, give details)",Water is always available,24 hours a day,0,Staff,,Once a month,Yes,Add chlorine or product,,,Add chlorine or product,3,1,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Number of minutes (specify),7,7,0,0,0,4,2,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,11:40:00
415,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,DANGOLHO Job,2022-11-23,08:48:00,3.528864,16.057580,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,Secondary,,Agriculture,,10,Unprotected well,,,,Unprotected well,,,,Other place,Number of minutes (specify),6,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",The source is not accessible (no access),,24 hours a day,1,Staff,,Several times a month,No,,,I do not know how to do,To boil,4,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,2,0,0,0,1,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,09:02:00
412,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,DANGOLHO Job,2022-11-23,08:31:00,3.529073,16.057477,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,Primary,,Agriculture,,14,Unprotected well,,,,Unprotected well,,,,Other place,Number of minutes (specify),10,"Yes, at least once",Girl (under 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,1,Staff,,Once a month,No,,,There's no advantage for me,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,4,0,0,0,2,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,08:42:00
409,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,DANGOLHO Job,2022-11-23,08:06:00,3.528052,16.057579,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,Primary,,Agriculture,,7,Unprotected well,,,,Unprotected well,,,,In its own yard or plot,Number of minutes (specify),2,"No, access is still sufficient",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,24 hours a day,2,Staff,,"Once, every few months",No,,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),280,3,0,1,1,0,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,08:26:00
376,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,MOSSALBAYE Armand,2022-11-23,09:56:00,3.526488,16.055525,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,Secondary,,Casual Work,,3,Drilling with TDC,,A806,Tanga Qtier Moussa,Drilling with TDC,,A806,Tanga Qtier Moussa,Other place,Number of minutes (specify),45,"Yes, at least once",Girl (under 15),4,"No, but water is available most of the time",Water is too expensive (water price),,24 hours a day,2,Staff,,Several times a month,No,,,It is expensive,Add chlorine or product,3,1,0,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),180,3,0,0,0,3,0,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,The PMH ID and name used by this household is not in the WFG database.,14:07:00
373,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,MOSSALBAYE Armand,2022-11-23,09:13:00,3.526851,16.056569,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,Primary,,Agriculture,,10,Unprotected well,,,,Unprotected well,,,,Other place,Number of minutes (specify),5,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,24 hours a day,1,Staff,,Several times a month,No,,,I do not know how to do,Do not know,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),200,6,2,0,0,2,4,2,60,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,09:38:00
367,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,MOSSALBAYE Armand,2022-11-23,08:18:00,3.528637,16.056954,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,Primary,,Agriculture,,9,Unprotected well,,,,Unprotected well,,,,Other place,Number of minutes (specify),5,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is not available at the source (no water),,24 hours a day,1,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),240,6,1,0,1,3,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,08:38:00
295,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,NGUEBATA Arlette,2022-11-23,09:53:00,3.525615,16.055525,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,None,,Agriculture,,6,Unprotected well,,,,Unprotected well,,,,In his own accommodation,Number of minutes (specify),5,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,1,Staff,,Once a month,No,,,The water is already drinkable (improved source),Add chlorine or product,4,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),300,6,0,0,0,1,0,2,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,10:39:00
292,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,NGUEBATA Arlette,2022-11-23,09:03:00,3.526737,16.056122,Sangha-Mbaere,nola,nola,nola,Namboui 1,Women,Secondary,,Formal Employment,,4,Drilling with TDC,,A1821,Namboui 1,Drilling with TDC,,A1821,NAMBUI 1,Other place,Number of minutes (specify),40,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available","Other, give details)",Water is always sufficient at the source,18-24 hours a day,0,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,0,0,0,1,1,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,09:44:00
289,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,NGUEBATA Arlette,2022-11-23,08:13:00,3.527073,16.057416,Sangha-Mbaere,nola,nola,nola,Namboui 2,Women,Primary,,Casual Work,,11,Drilling with TDC,,A1821,Namboui 1,Drilling with TDC,,A1821,NAMBUI 1,Other place,Number of minutes (specify),30,"No, access is still sufficient",Boy (under 15),7,"Yes, water is always available","Other, give details)",Water is always available,18-24 hours a day,0,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,5,0,0,0,2,2,3,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,08:49:00
316,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,NABELMA Eddy,2022-11-23,08:18:00,3.527933,16.058355,Sangha-Mbaere,nola,nola,nola,Namboui 3,Women,None,,Agriculture,,10,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),15,"No, access is still sufficient",Adult woman (over 15),28,"Yes, water is always available","Other, give details)",Water is always available,24 hours a day,0,Staff,,Never,Yes,Add chlorine or product,,,Add chlorine or product,3,2,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,2,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),60,3,3,0,0,3,1,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,08:55:00
370,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,MOSSALBAYE Armand,2022-11-23,08:45:00,3.527573,16.058973,Sangha-Mbaere,nola,nola,nola,Namboui 5,Women,Secondary,,Agriculture,,12,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),3,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,2,Staff,,"Once, every few months",No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),120,3,3,0,0,4,1,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,09:02:00
322,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,NABELMA Eddy,2022-11-23,09:30:00,3.527360,16.058713,Sangha-Mbaere,nola,nola,nola,Namboui 5,Women,Primary,,Agriculture,,11,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),20,"No, access is still sufficient",Adult woman (over 15),35,"Yes, water is always available","Other, give details)",Water is always available,24 hours a day,0,Staff,,"Once, every few months",No,,,It is expensive,Add chlorine or product,3,1,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,1,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),240,2,0,0,0,4,4,1,50,Yes,200,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,Nothing to report,10:04:00
319,Yes,Yes,Planned AEP System,B679,AEP135,Malebo E,NABELMA Eddy,2022-11-23,09:00:00,3.529006,16.058729,Sangha-Mbaere,nola,nola,nola,Namboui 5,Women,Primary,,Agriculture,,9,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),15,"No, access is still sufficient",Adult woman (over 15),57,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,Once a month,No,,,There's no advantage for me,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Number of minutes (specify),7,14,3,0,0,0,8,2,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,"The other cans are inside, full of water",09:28:00
586,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,NGUEBATA Arlette,2022-12-05,17:07:00,4.657922,15.802442,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,City 2,Women,None,,Agriculture,,6,Drilling with TDC,,F2127,Catholic City 2B,Drilling with TDC,,F2127,Catholic City 2B,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,2,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),190,6,0,0,0,2,0,0,,No,,No hand washing place in the house or plot,,,,17:37:00
583,Yes,Yes,Planned AEP System,B997,AEP68,Nandobo-Centre B,NGUEBATA Arlette,2022-12-05,16:25:00,4.658949,15.802357,Mambere-Kadei,Berberati,Upper Batouri,Nandobo,City 2,Women,Primary,,Agriculture,,5,Drilling with TDC,,F2127,Catholic City 2B,Drilling with TDC,,F2127,Catholic City 2B,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,2,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),"Use a water filter (ceramic, sand, composite, reverse osmosis, etc.)",3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),320,6,0,0,0,2,0,0,10,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,16:55:00
